self.Clock,C1_W1,C1W2,C1W3,C2W2,C3W3,Part1,Part2,Part3,inspector1 block time,inspector2_C2 block time,inspector2_C3 block time,Total Block Time,self.w1_idle,self.w2_idle,self.w3_idle,Total Idle Time(workstation),self.w1_aval,self.w2_aval,self.w3_aval,Event Queue
4033.6473238245076,0,0,0,2,2,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.9766996988315,2084.396978626613,2001.2493500953856,6170.623028420843,True,True,False,"(4033.6473238245076, ins2c3_end) (4037.6075753013897, ins1c1_end) (4040.2783523203743, w3_end) (5000, system end) "
4033.6473238245076,0,0,0,2,2,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.9766996988315,2084.396978626613,2001.2493500953856,6170.623028420843,True,True,False,"(4033.6473238245076, ins2_start) (4037.6075753013897, ins1c1_end) (4040.2783523203743, w3_end) (5000, system end) "
4037.6075753013897,0,0,0,2,2,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.9766996988315,2088.357230103495,2001.2493500953856,6174.583279897725,False,True,False,"(4037.6075753013897, ins1c1_end) (4038.2410899297847, ins2c3_end) (4040.2783523203743, w3_end) (5000, system end) "
4037.6075753013897,0,0,0,2,2,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.9766996988315,2088.357230103495,2001.2493500953856,6174.583279897725,False,True,False,"(4037.6075753013897, ins1c1_start) (4037.6075753013897, w1_start) (4038.2410899297847, ins2c3_end) (4040.2783523203743, w3_end) (5000, system end) "
4037.6075753013897,0,0,0,2,2,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.9766996988315,2088.357230103495,2001.2493500953856,6174.583279897725,False,True,False,"(4037.6075753013897, w1_start) (4038.2410899297847, ins2c3_end) (4040.2783523203743, w3_end) (4053.809727683539, ins1c1_end) (5000, system end) "
4038.2410899297847,0,0,0,2,2,140,73,80,0,227.03762853223725,318.58539079172033,545.6230193239576,2084.9766996988315,2088.99074473189,2001.2493500953856,6175.216794526121,False,True,False,"(4038.2410899297847, ins2c3_end) (4039.104623454468, w1_end) (4040.2783523203743, w3_end) (4053.809727683539, ins1c1_end) (5000, system end) "
4039.104623454468,0,0,0,2,2,141,73,80,0,227.03762853223725,318.58539079172033,545.6230193239576,2085.8402332235146,2089.8542782565733,2001.2493500953856,6176.943861575488,True,True,False,"(4039.104623454468, w1_end) (4039.2046234544678, ins2c3_end) (4040.2783523203743, w3_end) (4053.809727683539, ins1c1_end) (5000, system end) "
4039.2046234544678,0,0,0,2,2,141,73,80,0,227.03762853223725,319.7591196576268,546.796748189864,2085.9402332235145,2089.954278256573,2001.2493500953856,6177.143861575489,True,True,False,"(4039.2046234544678, ins2c3_end) (4040.2783523203743, w3_end) (4053.809727683539, ins1c1_end) (5000, system end) "
4040.2783523203743,0,0,0,2,2,141,73,81,0,227.03762853223725,319.7591196576268,546.796748189864,2087.013962089421,2091.0280071224797,2002.3230789612921,6180.365048173208,True,True,True,"(4040.2783523203743, w3_end) (4040.3783523203742, ins2c3_end) (4053.809727683539, ins1c1_end) (5000, system end) "
4040.3783523203742,0,0,0,2,2,141,73,81,0,227.03762853223725,333.2904950207917,560.328123553029,2087.113962089421,2091.1280071224796,2002.423078961292,6180.665048173209,True,True,True,"(4040.3783523203742, ins2c3_end) (4053.809727683539, ins1c1_end) (5000, system end) "
4053.809727683539,0,0,0,1,2,141,73,81,0,227.03762853223725,333.2904950207917,560.328123553029,2100.545337452586,2091.1280071224796,2015.854454324457,6207.5277988995385,True,False,True,"(4053.809727683539, ins1c1_end) (4053.909727683539, ins2c3_end) (5000, system end) "
4053.809727683539,0,0,0,1,2,141,73,81,0,227.03762853223725,333.2904950207917,560.328123553029,2100.545337452586,2091.1280071224796,2015.854454324457,6207.5277988995385,True,False,True,"(4053.809727683539, ins1c1_start) (4053.809727683539, w2_start) (4053.909727683539, ins2c3_end) (5000, system end) "
4053.809727683539,0,0,0,1,2,141,73,81,0,227.03762853223725,333.2904950207917,560.328123553029,2100.545337452586,2091.1280071224796,2015.854454324457,6207.5277988995385,True,False,True,"(4053.809727683539, w2_start) (4053.909727683539, ins2c3_end) (4066.159386251316, ins1c1_end) (5000, system end) "
4053.909727683539,0,0,0,1,2,141,73,81,0,227.03762853223725,343.52750239568786,570.5651309279251,2100.645337452586,2091.1280071224796,2015.954454324457,6207.727798899539,True,False,True,"(4053.909727683539, ins2c3_end) (4064.0467350584354, w2_end) (4066.159386251316, ins1c1_end) (5000, system end) "
