ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
134,134,5000,1000,253,112,121,0.5919508121432955,146.8265660671816,163.31709298295937,310.73560986228426,3175.019722017416,3749.086628298256,3800.449596782947,10724.555947098619
135,135,5000,1000,206,104,103,8.503049197249311,86.86471169867468,116.86168354980487,212.22944444572886,2607.333829067773,2691.2073385657504,2901.142087692606,8199.68325532613
136,136,5000,1000,185,109,78,0.5561019808328638,705.1470283963849,51.22439127930875,756.9275216565266,2647.5557993169646,2357.2033953311684,3066.3497010008427,8071.108895648977
137,137,5000,1000,232,95,120,10.972882053809371,1.594550474242169,147.39000786948918,159.95744039754072,2437.293043515452,2936.5020499539523,2960.2502447066504,8334.045338176054
138,138,5000,1000,208,101,97,0,199.287452939461,290.46684163850364,489.75429457796463,2667.838410939332,2604.0640145168736,3026.293298534933,8298.195723991139
139,139,5000,1000,232,110,129,10.177111603408093,389.77074671540566,573.5507477906434,973.4986061094572,3434.8709397109133,3454.870257649396,3431.609064535446,10321.350261895755
140,140,5000,1000,187,98,102,7.773798831594831,293.39041197094684,210.96560842907343,512.1298192316151,2756.9833771859835,2839.3372761545647,2888.055414579837,8484.376067920384
141,141,5000,1000,196,93,102,7.285451627472639,131.82285260878962,264.3466516607641,403.45495589702637,2696.671823916669,2830.64038111422,2938.005349507228,8465.317554538116
142,142,5000,1000,188,90,96,0.556004237902016,376.524960419928,97.11253288894295,474.19349754677296,2603.4556945514546,2783.1049983753787,3088.8906175509906,8475.451310477823
143,143,5000,1000,195,92,92,1.285309570189611,348.80650209361943,326.3811012897386,676.4729129535476,2607.4943217708765,2774.713551927149,2826.9180708784584,8209.125944576484
144,144,5000,1000,208,113,93,0,439.0559718609543,50.969466896628546,490.02543875758283,2527.5746410229895,2671.518432292094,3007.667766545702,8206.760839860784
145,145,5000,1000,188,105,97,0,394.9067739046734,196.38087338332593,591.2876472879993,2799.0590191633146,2798.685573826867,2712.496857935566,8310.241450925747
146,146,5000,1000,195,97,103,20.671480082068456,159.3020431831169,90.98448271965731,270.95800598484266,2601.1392417347374,2765.2830766802763,2967.4245829929255,8333.84690140794
147,147,5000,1000,209,93,91,21.802081124919823,383.225228585615,59.00953986572813,464.03684957626297,2499.693655827023,2853.628510348352,3074.728259448112,8428.050425623487
148,148,5000,1000,181,91,88,0,250.1616855350644,127.29636828634739,377.4580538214118,2846.6657369487725,2992.6193547940816,2974.8659718447257,8814.15106358758
149,149,5000,1000,207,104,111,22.045373231864914,258.68875520313804,202.8985981345768,483.63272656957975,2599.1718249229925,2864.915784623658,2952.001490292342,8416.089099838991
150,150,5000,1000,197,93,83,4.893831465421499,182.9277113671036,23.844897018201664,211.66643985072676,2650.526143052246,2682.1450480090202,3049.9716188693064,8382.642809930574
151,151,5000,1000,197,93,103,9.9331406398951,219.18069376964831,157.047831297907,386.1616657074504,2700.8215282935103,2564.2392527762013,2706.2511297950523,7971.311910864763
152,152,5000,1000,202,96,103,5.607770595797774,277.2756398006936,212.743100398342,495.6265107948334,2639.267096142764,2766.581893668862,2951.841863094545,8357.690852906171
153,153,5000,1000,199,96,107,15.891546178727367,248.5898502129985,69.24037756172902,333.7217739534549,2459.3390490672937,2736.0403156363454,2908.0148446980447,8103.394209401684
154,154,5000,1000,218,103,93,18.318244456813773,135.60137653600123,90.29738213433052,244.21700312714552,2450.442848227578,2758.280607676935,3106.508966921062,8315.232422825575
155,155,5000,1000,189,88,112,1.867214620539471,77.700923423409,151.26053305172059,230.82867109566905,2702.462335488678,2908.2833427692826,2674.195548211029,8284.941226468989
156,156,5000,1000,217,101,100,9.286598417866117,277.42340663709297,256.6156598077489,543.325664862708,2438.5665252914546,2751.667249025135,2814.5226106153264,8004.756384931916
157,157,5000,1000,189,95,93,0,151.28318459625973,242.2740815971256,393.5572661933853,2574.0204475528053,2967.6679323615244,3038.2840629418206,8579.97244285615
158,158,5000,1000,188,88,107,18.700915219053968,294.59406027404793,68.36122559563046,381.65620108873236,2527.9101084586714,2824.1397622300738,3007.129889836222,8359.179760524967
159,159,5000,1000,201,89,103,9.412467084226591,263.5069797338481,362.71821061256037,635.637657430635,2690.3835585523043,2907.3323151918103,2830.285780936944,8428.001654681058
160,160,5000,1000,224,85,111,22.869055495761586,37.241761673736164,43.43261271667711,103.54342988617486,2404.3443293674045,2819.304352317113,2897.207695867775,8120.8563775522925
161,161,5000,1000,183,97,96,0,412.94464613969876,28.336415448778098,441.28106158847686,2769.1268383200195,2741.709185164693,2871.596656734502,8382.432680219215
162,162,5000,1000,175,103,101,12.408109770858118,291.0283023075069,21.292748426375965,324.729160504741,2736.2111784126264,2701.3811257861407,2872.7651983532846,8310.357502552051
163,163,5000,1000,201,99,109,2.4744869725427634,164.41118581288447,194.89347875547833,361.77915154090556,2479.976449135602,2835.5273245205813,2965.5447664444087,8281.048540100592
