ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
51,51,5000,1000,374,21,26,0,236.4990171767122,2877.9951939798298,3114.494211156542,919.8024975271953,3740.29181560334,3775.388717213887,8435.483030344423
52,52,5000,1000,329,17,15,0,1291.8590343681144,2072.928118999654,3364.7871533677685,899.8305698635518,3798.990455215528,3899.767126871525,8598.588151950604
53,53,5000,1000,332,20,26,0,21.43799488009222,3175.2314499703025,3196.669444850395,950.6925621812043,3675.8029096757564,3799.8040439690253,8426.299515825986
54,54,5000,1000,334,14,35,0,183.538224294286,2997.4220737323226,3180.9602980266086,1037.914494185482,3889.7114112545514,3703.1113954896746,8630.737300929708
55,55,5000,1000,412,29,22,0,132.03672405048349,3971.775236028441,4103.811960078924,1108.5091454523536,4757.67186384284,4827.053210266848,10693.23421956204
56,56,5000,1000,313,34,28,0,1026.376609876377,1936.1371865421734,2962.5137964185506,836.1846590806834,3659.7056991248,3761.5719099137073,8257.46226811919
57,57,5000,1000,334,23,16,0,555.1464588831416,2636.5928020529163,3191.739260936058,941.3860367672781,3739.2034983104286,3875.290859037692,8555.880394115398
58,58,5000,1000,320,17,25,2.075118502445548,205.83551354475708,2935.5978955933865,3143.5085276405894,937.327256656936,3787.579497679608,3802.2354903119917,8527.142244648536
59,59,5000,1000,328,15,22,0,347.9011866158196,3019.5331438905805,3367.4343305064,958.0046096209758,3887.9752892266997,3840.928781713915,8686.908680561592
60,60,5000,1000,357,24,13,0,718.7350281956715,2693.8223533671703,3412.557381562842,877.6028973587049,3792.8126764422477,3900.0709113247176,8570.48648512567
61,61,5000,1000,327,20,15,0,165.08349424129165,3178.8995725896602,3343.983066830952,780.7953404072683,3842.403537670315,3915.2912171086,8538.490095186184
62,62,5000,1000,335,23,34,0,243.96572080052647,2731.9252928951946,2975.891013695721,908.3207852507694,3608.273679273295,3736.2414826287204,8252.835947152784
63,63,5000,1000,338,20,23,0,98.61346012331137,3097.165195525451,3195.7786556487627,912.3179669099316,3857.0990010696846,3794.744250054947,8564.161218034562
64,64,5000,1000,323,14,26,0,477.5904889900261,2943.0413187487447,3420.631807738771,847.5057465205125,3837.274542470486,3747.1895648257328,8431.96985381673
65,65,5000,1000,354,17,33,0,0,3248.768633630066,3248.768633630066,831.2190022990417,3900.6235275250533,3775.549726054175,8507.392255878269
66,66,5000,1000,357,21,25,0,85.01427129800504,2836.7124004577186,2921.7266717557236,999.7277687841568,3854.9307378371027,3754.5004506605947,8609.158957281854
67,67,5000,1000,335,23,27,0,390.6513381294267,2649.181166838453,3039.8325049678797,1025.762532914148,3737.2712742973695,3802.282359088795,8565.316166300312
68,68,5000,1000,323,14,26,0,340.72499513722823,2743.485844025196,3084.2108391624242,891.3897854596228,3894.517535279441,3812.168255737801,8598.075576476866
69,69,5000,1000,343,19,19,0,781.9161500778596,2654.193884185347,3436.1100342632067,856.2273462362674,3792.393601394997,3822.392551838139,8471.013499469404
70,70,5000,1000,357,21,21,0,133.95237808951174,2768.0825239019887,2902.0349019915,931.8556209831023,3826.8841547798256,3791.5179252115827,8550.257700974511
71,71,5000,1000,342,22,22,0,169.13089398799957,3094.766156535658,3263.8970505236575,910.6164820108836,3803.982813625986,3792.822013414139,8507.42130905101
72,72,5000,1000,308,18,17,0,828.7165525491923,2630.5858626015297,3459.3024151507216,904.8548585200921,3736.17391730831,3804.569890136958,8445.59866596536
73,73,5000,1000,351,22,29,0,291.7566631114296,2770.4651530969777,3062.2218162084073,854.9907423537737,3793.3248263143905,3763.3115114098296,8411.627080077993
74,74,5000,1000,338,21,23,0,0,3104.741032910991,3104.741032910991,1060.8231549639431,3796.3554986529043,3825.7927436554064,8682.971397272253
75,75,5000,1000,353,23,25,0,394.80498957352165,2637.681375675002,3032.4863652485237,958.4189760441479,3669.973206253556,3728.5418210916732,8356.934003389377
76,76,5000,1000,323,15,20,0,759.2952119395432,2465.164397794176,3224.459609733719,910.6732928140947,3832.2399735221084,3866.661009195175,8609.574275531379
77,77,5000,1000,338,18,25,0,59.183315695563124,3291.2117833089965,3350.3950990045596,853.1600932984585,3825.012885125712,3857.173249979087,8535.346228403258
78,78,5000,1000,330,22,23,0,26.212597041882645,3415.7237283784857,3441.936325420368,770.1931977988316,3772.565682089656,3781.9216479836336,8324.680527872122
79,79,5000,1000,341,29,27,0,108.9281600036993,2877.808961687551,2986.73712169125,921.0602803525105,3598.107892722214,3777.866628692255,8297.034801766978
80,80,5000,1000,336,22,29,0,142.33628382036534,2643.039595551405,2785.37587937177,989.8465217633435,3749.572906673709,3707.7778642104404,8447.197292647492
81,81,5000,1000,355,25,28,0,423.2354663484448,2548.502136230867,2971.737602579312,886.8957234083928,3713.2015503575067,3787.379462146538,8387.476735912438
